10.004,6.980,6.080,5.864,6.420,8.112,8.656,8.008,7.316,7.556,6.988,8.776,8.668,9.232,7.892,5.420,10.684,8.796,10.808,7.996,6.660,6.876,8.548,9.676,8.552,5.860,6.640,6.320,6.416,7.780,8.448,6.976,6.980,10.120,7.656,5.196,10.016,8.344,6.544,6.544,11.924,10.904,8.676,8.552,5.976,7.432,6.312,8.996,6.864,9.452,8.208,6.980,6.988,8.104,6.416,7.880,8.656,6.864,8.660,7.996,7.544,11.472,7.556,5.984,11.136,9.900,7.100,6.428,5.868,8.452,8.668,6.216,10.584,9.456,7.880,8.784,9.796,10.344,9.120,9.116,6.080,6.428,9.112,7.220,9.220,7.428,10.356,8.560,8.656,7.884,9.012,6.316,6.204,9.108,7.880,7.120,8.096,6.436,9.344,9.680,6.996,10.588,5.968,6.668,8.660,7.668,5.868,5.540,7.760,7.656,7.664,8.888,7.988,7.548,6.868,9.784,8.672,10.572,5.532,7.536,6.548,10.116,8.440,7.544,8.556,7.316,5.976,10.012,7.324,7.880,5.420,7.776,8.556,9.124,8.332,8.880,7.328,6.192,5.412,7.216,8.552,6.872,6.984,8.676,7.336,6.092,6.868,5.864,6.864,8.108,7.988,7.764,11.580,9.336,6.884,7.212,7.548,8.544,6.304,8.432,11.028,8.444,8.544,7.760,7.760,9.000,5.636,9.780,5.528,9.448,5.632,5.408,7.872,10.364,11.132,9.900,5.520,7.208,8.332,7.328,6.424,8.224,8.008,9.020,7.768,8.096,7.436,10.680,9.004,10.460,8.340,7.436,6.080,7.092,9.556,9.560,9.452,9.108,7.540,5.640,11.020,7.312,6.204,6.424,8.784,8.780,7.880,6.640,10.232,7.660,8.672,9.348,9.000,6.988,5.184,9.672,6.664,9.000,6.312,5.316,8.664,9.336,9.004,10.228,9.104,9.224,9.112,8.888,7.432,10.904,6.976,10.136,7.552,7.212,6.304,5.984,6.532,8.888,9.236,9.444,6.756,8.896,7.432,10.580,8.684,6.996,7.880,6.200,8.664,8.212,
6.420,6.088,9.448,9.780,7.888,9.232,6.312,8.784,9.684,8.448,7.548,5.184,8.108,7.544,7.540,10.008,5.424,6.208,5.304,9.564,9.124,8.116,7.772,9.328,5.412,10.448,5.968,6.196,8.888,11.684,11.456,7.324,6.548,10.468,8.996,7.664,5.756,8.444,5.868,9.016,10.804,8.320,8.888,7.088,8.216,7.772,9.564,7.648,9.120,7.204,7.768,9.892,8.660,7.988,10.684,8.440,7.884,6.876,11.356,8.452,7.780,9.792,7.880,8.996,7.884,7.208,5.988,7.324,6.420,10.684,9.108,9.892,10.464,7.536,9.888,10.348,8.660,7.212,9.556,9.456,8.448,9.796,5.536,7.664,9.336,9.456,5.316,7.988,9.672,7.648,5.968,5.976,8.004,8.784,5.868,6.868,7.208,8.676,7.092,10.340,9.896,7.992,7.652,9.460,8.100,9.800,7.224,9.904,5.756,6.864,7.216,6.756,9.128,8.336,5.864,9.344,5.876,9.336,6.540,7.208,8.888,7.320,9.116,6.304,9.784,8.432,8.668,9.560,7.336,8.552,8.572,10.360,9.228,10.688,10.584,10.572,6.644,7.436,7.432,7.664,7.884,7.552,6.648,8.104,9.220,8.660,6.984,8.448,8.900,6.308,6.312,8.548,6.540,6.528,5.412,6.768,9.224,7.312,9.000,7.436,4.968,6.552,7.312,7.992,9.340,7.100,6.660,10.124,10.116,9.336,7.772,8.444,7.096,7.424,6.216,8.564,5.980,7.428,8.904,9.908,7.772,7.656,7.772,5.868,10.692,9.452,9.776,10.568,9.104,9.784,7.776,8.444,9.000,10.236,9.692,6.536,6.876,7.656,10.128,8.112,11.480,6.768,7.888,7.116,6.864,7.996,10.676,8.212,7.776,6.424,5.856,7.212,9.224,9.004,6.772,11.924,8.780,9.464,7.540,7.772,9.236,6.772,9.224,6.996,7.548,6.100,7.764,9.444,6.868,8.996,9.452,6.752,9.792,6.212,5.192,7.760,7.432,8.228,8.348,7.556,7.992,6.196,8.108,10.244,7.424,5.528,8.224,6.760,11.132,7.988,
6.528,6.992,8.664,9.800,9.328,6.868,8.332,9.792,7.216,5.536,6.980,7.320,8.328,10.012,6.540,9.004,9.336,6.764,6.868,7.224,9.780,8.780,8.780,6.980,10.016,8.776,8.668,8.328,8.440,10.356,6.880,6.088,8.444,8.004,5.076,8.560,5.868,7.872,8.332,8.332,9.340,5.748,7.996,6.764,8.336,9.788,7.552,7.996,6.436,7.336,5.524,6.768,6.652,7.324,8.104,8.220,8.000,6.768,8.664,7.884,7.540,7.992,8.328,5.520,6.416,10.460,10.004,8.572,8.336,9.780,9.232,7.096,6.648,6.876,6.984,8.884,8.340,8.656,9.452,8.544,4.848,8.436,7.772,8.216,7.880,8.556,7.440,7.332,9.468,7.884,6.536,9.900,9.220,7.776,5.412,9.800,5.984,8.772,7.996,9.000,8.992,6.980,6.532,7.208,8.548,8.672,9.444,6.428,7.436,9.456,6.996,8.780,6.428,7.664,7.652,9.236,10.132,7.444,7.992,6.304,8.664,11.460,9.004,10.344,9.784,7.992,4.512,8.436,7.424,9.232,10.028,6.640,8.664,9.552,7.436,12.044,9.000,10.680,6.428,7.320,6.648,9.896,6.420,6.540,6.872,9.440,6.532,7.992,6.428,10.472,9.340,10.472,7.996,9.012,5.532,7.444,7.092,9.584,6.764,6.996,5.188,7.556,7.996,8.448,7.764,6.548,6.760,5.856,8.892,6.760,7.432,8.440,6.880,6.764,6.876,8.896,7.672,6.992,6.304,8.668,7.772,5.308,8.572,9.552,9.004,8.896,10.112,7.996,6.652,7.996,6.884,7.436,5.408,8.660,7.892,10.460,8.548,7.888,6.204,5.876,5.864,10.472,5.300,9.576,7.436,8.668,5.192,9.784,8.996,10.452,5.196,7.428,7.436,6.424,7.892,10.356,7.100,7.988,6.872,8.004,6.084,9.000,8.216,7.768,10.580,6.528,7.436,6.984,11.472,8.108,8.096,7.324,8.776,7.212,6.976,8.780,7.884,6.988,6.308,8.884,7.776,8.680,9.328,7.772,6.200,8.668,8.896,7.324,5.520,9.692,
7.880,7.548,8.332,9.900,8.320,8.548,7.772,8.556,9.556,6.644,9.444,6.192,5.860,6.976,10.912,8.776,10.020,9.684,8.224,5.756,8.900,9.676,6.880,8.332,8.880,6.652,8.780,8.780,9.780,4.964,10.900,7.544,7.212,6.316,5.972,8.776,5.752,7.208,9.344,8.680,9.348,9.896,9.904,5.868,6.752,5.980,4.864,8.000,8.336,7.664,6.432,8.220,8.676,7.888,7.984,8.768,6.420,7.424,9.680,7.888,9.116,7.768,10.672,9.888,8.436,7.216,8.892,9.456,9.012,9.108,8.908,10.336,9.792,8.888,7.768,8.436,8.336,9.916,9.456,7.996,7.424,7.096,7.668,7.436,6.988,7.432,8.556,5.636,7.760,8.100,7.880,7.096,8.104,9.000,10.236,7.200,7.320,6.528,7.880,9.232,5.988,10.024,7.656,8.104,8.216,5.528,8.672,8.896,12.028,8.788,11.136,8.548,8.228,7.320,8.548,7.536,8.104,8.780,6.316,7.548,8.208,5.412,7.768,10.568,7.776,4.632,8.324,8.108,7.772,9.348,4.968,11.032,8.896,7.208,9.564,7.888,10.360,6.872,6.648,10.244,11.236,6.092,9.228,8.776,10.672,8.552,6.868,7.548,8.220,6.980,6.880,10.244,11.588,7.440,10.348,5.408,6.884,7.096,8.672,7.772,9.776,5.864,10.012,5.532,8.556,6.656,7.872,7.436,10.000,6.308,8.328,7.436,8.104,5.188,8.556,7.208,9.108,9.444,9.232,7.336,9.112,8.224,8.992,9.220,5.640,8.560,8.900,5.636,6.872,7.772,11.476,9.560,7.204,8.776,8.660,7.092,6.420,8.220,6.428,8.776,7.324,7.100,9.900,8.332,7.760,7.772,8.664,7.324,8.100,8.328,7.880,9.012,9.336,8.324,7.212,8.004,7.992,9.120,6.764,10.356,10.564,5.972,7.428,8.552,8.208,7.316,7.648,7.888,7.200,5.300,9.216,9.904,5.988,5.644,9.120,9.352,10.576,8.552,8.664,5.868,8.776,8.788,7.548,6.536,8.664,6.000,7.768,10.004,9.000,8.556,
8.676,9.120,11.016,9.116,7.992,6.640,5.988,5.976,8.448,9.008,5.652,6.424,7.208,5.640,7.324,8.432,5.532,8.780,9.460,6.540,10.788,10.020,8.784,7.568,7.896,6.536,8.444,6.884,7.988,9.336,7.320,8.324,5.184,9.444,5.416,10.012,8.896,5.528,9.340,9.556,7.884,6.992,8.788,7.544,9.668,6.872,7.212,9.232,6.336,9.236,9.792,7.648,7.440,7.436,5.752,5.188,8.556,8.452,7.884,8.552,7.992,5.752,9.340,9.112,7.988,8.776,7.768,8.664,8.668,6.536,8.780,8.320,5.980,6.988,9.124,5.744,7.776,7.992,4.964,10.792,9.444,9.904,7.880,8.448,7.656,9.328,7.424,8.900,7.324,6.420,6.652,7.444,7.996,11.140,9.224,9.572,8.220,8.676,7.432,6.444,8.324,7.312,7.444,6.536,8.660,7.872,8.096,8.896,8.556,7.092,7.648,4.628,8.000,9.560,8.328,8.780,9.572,8.768,6.312,9.236,10.008,7.312,9.340,9.784,9.776,10.020,8.100,6.884,6.192,10.132,5.752,8.224,9.784,6.084,7.992,7.652,6.752,8.444,9.004,6.756,6.316,7.880,7.312,10.576,6.768,7.212,7.432,5.872,8.896,7.988,9.240,6.652,10.140,7.088,8.344,7.312,6.312,10.244,8.120,8.332,6.308,6.872,6.332,8.892,9.132,6.536,8.108,6.756,6.088,9.788,7.996,7.880,10.244,6.760,7.424,6.760,9.784,10.116,8.212,9.332,8.560,7.444,8.668,8.676,8.004,8.900,7.656,8.788,8.888,6.544,7.324,8.996,8.672,7.100,7.984,9.224,7.208,6.424,8.004,9.004,10.460,7.100,7.204,9.000,8.324,7.872,9.124,7.092,9.664,9.452,6.876,8.444,10.572,8.324,5.856,8.328,9.000,5.416,8.440,6.308,8.572,8.896,11.020,6.088,10.908,6.316,9.232,6.536,9.132,8.108,8.436,7.760,5.744,5.984,7.656,11.240,8.772,10.792,9.336,10.464,6.420,8.436,6.980,6.428,9.224,8.908,6.544,8.552,7.100,6.988,
8.768,6.420,8.772,9.124,6.880,10.580,5.416,5.080,6.416,5.644,9.896,9.444,7.212,8.888,7.652,5.860,7.320,5.416,6.428,6.756,7.320,8.104,7.444,6.648,8.440,7.112,6.432,6.528,6.428,9.112,7.312,6.764,9.220,10.016,8.340,7.088,7.660,8.780,7.776,7.772,7.200,4.636,9.676,8.880,8.220,8.552,10.792,6.192,6.096,8.448,7.668,9.108,7.552,9.672,6.532,9.916,6.768,5.868,7.428,6.984,9.340,9.340,10.012,9.556,6.752,9.452,5.636,9.888,8.780,5.200,6.776,9.216,6.992,6.876,9.664,7.428,7.556,8.100,9.916,6.776,7.220,8.096,5.304,5.540,8.556,11.248,9.216,8.888,9.896,6.752,7.436,6.544,8.672,9.796,8.328,7.668,7.876,8.560,8.104,8.332,7.544,7.220,8.112,9.680,9.236,9.120,5.072,7.664,5.072,8.440,7.200,8.332,8.328,9.792,7.444,5.644,5.644,10.580,7.772,9.672,10.008,9.552,6.660,9.112,9.124,7.660,5.876,7.884,6.100,9.572,10.244,6.880,6.656,8.664,6.984,12.472,7.428,8.668,7.548,9.348,6.536,7.324,6.872,7.096,10.256,6.876,8.888,6.532,8.664,9.788,8.552,9.568,7.876,9.672,5.752,6.648,8.328,9.892,5.520,7.320,8.660,7.536,6.772,9.240,8.448,9.676,7.656,9.000,7.108,8.224,8.664,8.780,9.788,9.224,5.644,4.640,7.092,6.980,10.452,6.316,8.332,10.900,8.216,5.076,8.660,7.996,7.320,6.540,8.676,6.208,7.660,8.888,9.128,8.444,8.440,11.688,6.764,7.540,5.752,10.684,7.548,8.440,6.096,6.864,10.116,11.148,10.128,6.872,8.436,7.104,8.992,8.788,7.332,9.688,8.216,9.464,8.888,7.540,8.208,7.544,9.664,11.576,6.648,8.884,6.084,5.184,10.684,8.212,6.192,8.120,9.676,8.220,10.120,10.128,8.452,7.092,7.656,9.332,9.788,6.088,7.760,7.432,8.880,8.996,8.212,6.764,6.652,9.108,10.224,5.312,
8.664,6.980,8.448,6.544,8.000,5.860,5.868,8.000,8.452,10.564,9.344,5.636,8.340,9.000,7.872,7.652,7.880,10.792,5.296,8.100,9.556,7.660,6.536,10.228,6.192,10.912,8.436,5.976,9.452,8.436,5.640,9.228,9.216,10.144,9.224,8.116,8.656,6.428,10.004,10.568,8.332,6.312,7.096,10.456,9.568,9.012,9.132,7.768,5.980,7.536,5.416,9.904,8.780,5.980,7.324,6.192,9.556,6.196,9.124,6.996,7.772,8.660,7.444,9.340,5.196,10.008,8.656,8.324,10.224,7.764,5.640,6.760,10.016,6.760,6.200,6.984,6.640,7.100,7.652,8.892,7.092,6.872,10.796,5.408,6.752,7.996,8.112,7.204,7.668,7.320,6.556,9.012,8.776,9.900,8.000,8.780,7.992,8.564,9.448,6.000,10.456,9.456,9.008,9.796,10.452,8.660,10.688,8.660,7.648,10.004,7.656,7.764,6.648,9.560,6.324,8.120,9.780,8.320,9.440,11.368,7.324,5.656,7.884,12.152,10.236,7.872,7.764,7.780,10.584,8.328,7.544,6.540,9.112,6.652,8.544,8.112,6.080,8.900,9.124,8.216,9.552,6.432,6.536,7.892,7.324,7.436,8.892,7.996,8.896,8.340,9.104,10.240,9.104,8.108,9.332,8.768,8.208,5.184,9.892,7.996,8.436,8.668,5.860,9.448,5.972,12.132,8.664,8.228,6.104,8.216,10.228,8.676,7.768,6.532,7.204,7.892,5.632,8.348,7.896,8.768,6.200,6.204,9.348,10.016,6.640,8.340,10.452,9.332,7.548,8.220,9.356,8.220,6.976,9.680,7.544,7.880,9.796,8.452,6.204,9.572,10.800,8.992,9.788,7.320,7.996,6.864,7.088,7.648,8.320,8.776,6.416,8.548,8.892,5.880,7.208,8.992,6.416,9.564,8.544,10.000,5.748,4.624,7.540,10.012,9.896,10.008,8.452,5.872,7.220,5.080,6.764,7.000,7.004,6.876,8.892,6.428,7.668,6.200,7.772,8.336,5.196,8.216,10.128,9.000,9.008,8.788,5.636,10.232,9.116,9.452,
7.764,8.328,9.116,9.112,9.676,8.444,7.984,7.216,6.868,10.336,9.564,9.672,6.988,11.372,10.464,10.112,9.456,7.884,6.540,7.104,9.684,7.428,7.760,10.240,7.656,5.984,7.212,9.888,5.976,9.444,10.348,10.140,7.552,7.108,9.904,8.772,9.456,8.220,8.892,10.564,10.004,9.564,9.328,5.640,8.660,5.300,8.108,6.988,6.304,10.236,5.864,7.656,6.644,6.312,9.792,9.556,10.896,7.764,6.200,8.780,10.120,10.784,5.408,9.456,9.216,10.908,6.540,7.652,6.780,4.752,8.668,9.004,9.448,7.216,8.108,6.880,7.996,6.988,7.536,8.332,8.332,8.668,9.332,8.552,9.340,8.100,7.208,8.996,7.208,6.308,10.112,9.452,7.312,9.000,8.096,8.668,5.536,7.652,8.784,5.856,8.448,9.916,8.992,9.004,7.660,6.996,8.340,6.764,6.884,8.116,6.100,8.440,7.996,7.432,8.332,7.220,8.776,7.884,7.200,7.544,8.548,9.568,9.664,9.344,7.988,8.556,8.320,5.856,6.528,10.120,7.988,6.756,7.200,7.208,8.104,8.116,10.464,9.116,10.684,8.220,6.980,9.340,8.444,9.000,9.448,7.676,5.748,6.204,9.564,7.768,8.440,6.648,8.552,9.780,7.312,7.312,9.468,8.556,7.548,8.776,6.092,10.120,8.996,7.988,9.336,6.312,4.968,9.116,7.776,7.428,8.220,9.444,6.992,7.876,9.228,9.888,5.748,9.104,6.868,9.000,8.660,9.788,9.900,9.356,9.116,10.132,11.580,8.784,7.332,8.788,8.672,8.320,5.756,9.916,9.124,5.524,6.656,7.316,8.440,9.344,7.536,9.460,8.780,10.792,7.104,7.424,8.320,9.228,7.996,8.552,9.784,6.648,7.104,8.552,7.548,4.964,9.000,7.876,10.900,9.780,8.104,6.648,8.216,8.108,11.920,8.336,9.352,10.248,8.880,8.440,8.328,8.004,5.752,7.208,10.240,8.784,10.132,8.892,11.808,11.248,10.676,9.556,7.992,10.116,7.432,7.772,6.976,7.200,7.872,8.556,
6.528,8.332,8.436,9.336,7.892,8.564,8.772,7.324,6.868,8.328,6.208,10.008,6.872,6.316,6.756,7.776,9.232,8.572,7.424,7.100,8.440,7.436,7.432,9.340,5.520,9.004,8.216,7.768,9.664,6.416,9.676,6.424,6.980,7.664,6.872,10.236,9.464,6.768,6.424,9.792,7.996,9.452,8.004,8.908,9.908,4.976,10.804,7.540,6.980,9.556,9.332,10.340,8.344,9.124,7.092,5.872,7.876,9.112,10.448,6.988,9.448,9.780,9.788,6.080,11.568,9.228,7.760,7.216,9.568,9.228,9.112,5.976,7.548,8.548,6.204,8.776,8.776,5.984,6.332,9.236,6.420,9.004,6.760,6.432,8.668,7.648,5.752,8.668,9.008,9.336,7.540,9.232,4.968,7.324,9.332,7.660,6.984,6.764,10.348,5.524,6.976,9.328,7.988,9.232,8.108,8.888,6.640,10.236,7.664,9.116,8.672,7.312,8.560,6.980,6.312,7.656,6.216,8.100,7.200,9.348,7.324,8.788,9.452,9.132,5.528,9.668,4.860,8.788,7.984,8.216,8.768,6.532,7.884,6.436,6.768,8.332,6.652,5.976,5.972,8.324,7.316,9.228,6.756,7.432,7.888,8.552,9.564,9.228,7.440,6.312,7.880,9.344,9.236,10.132,7.320,8.668,7.208,6.416,6.996,5.980,7.552,5.860,8.340,7.004,9.216,10.120,7.656,8.336,8.440,6.100,8.664,7.556,8.556,7.780,4.968,9.788,6.652,7.548,8.552,5.656,6.208,9.564,7.908,7.652,8.332,5.632,8.440,6.192,6.648,6.864,7.992,7.096,10.000,8.324,5.528,7.428,8.328,5.528,8.784,6.200,7.552,8.444,9.344,5.316,8.892,8.556,10.116,9.892,8.448,9.116,6.644,8.672,7.100,6.756,9.560,6.868,6.980,10.692,6.876,8.216,8.444,7.776,6.304,8.212,6.532,5.304,8.880,7.092,9.228,11.012,5.756,4.968,7.768,11.020,6.096,8.444,7.996,8.104,6.096,7.228,6.988,7.992,7.892,10.700,8.444,9.236,10.132,7.656,8.332,6.532,
8.104,9.336,7.772,9.904,6.320,7.876,9.896,6.984,8.328,6.420,7.872,8.996,9.672,6.988,9.456,9.236,11.256,7.780,7.208,6.984,9.108,10.008,8.220,7.892,5.648,11.576,8.208,9.448,7.320,7.424,7.772,8.100,7.324,9.784,7.204,12.036,5.528,5.976,7.884,10.796,8.560,6.768,8.768,9.108,6.644,8.104,8.100,5.856,5.984,7.888,8.104,10.112,8.668,5.648,10.460,9.672,11.140,7.324,7.204,10.456,5.976,10.468,5.764,9.452,10.120,9.108,11.244,8.100,5.308,10.896,9.900,7.540,7.328,8.436,6.876,8.664,8.108,6.100,8.108,6.864,8.880,10.456,8.108,6.536,5.756,8.892,9.224,7.432,9.220,5.524,7.984,8.208,9.228,7.872,8.680,4.856,7.100,9.112,5.416,4.752,7.768,9.684,8.320,6.752,6.104,6.980,7.324,8.440,6.872,8.440,8.892,7.216,6.316,9.116,7.992,10.900,8.768,5.300,8.000,6.080,9.228,5.196,6.432,8.124,11.128,7.892,9.000,8.664,7.316,10.124,6.304,6.536,7.764,9.228,9.004,8.340,11.800,7.220,6.196,9.340,8.340,7.668,7.208,6.984,5.424,6.092,6.536,8.552,7.776,9.232,10.564,7.988,8.664,5.968,7.880,8.544,9.004,8.548,10.240,7.220,7.092,6.660,8.432,10.464,5.636,7.548,6.868,7.316,9.008,9.012,6.084,7.424,12.588,9.220,6.864,7.544,7.760,8.224,9.344,6.976,7.548,8.000,6.980,7.772,9.576,5.532,8.224,7.560,7.440,6.304,8.212,6.428,10.008,9.348,7.760,9.112,10.004,6.420,7.540,7.216,9.788,5.760,6.652,12.268,9.112,6.440,8.880,7.648,10.796,7.324,7.328,9.228,8.440,7.436,8.096,5.984,7.212,10.236,7.316,8.324,7.324,9.228,7.088,8.224,9.340,8.884,6.984,9.452,9.900,8.228,6.200,7.316,8.100,7.204,8.552,5.528,9.448,6.308,8.780,8.552,9.008,5.532,9.104,9.216,5.764,7.428,6.544,9.672,6.988,7.108,
